SPCD,COMMON_NAME,GENUS,SPECIES,SUCCESSIONAL_ID,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,QUEBEC_NAME
312,bigleaf maple,Acer,macrophyllum,1,,,ACMA3,47,47,3,25,130,,,X,,X,X,H,,,X,,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.44,1,0.48,3,113.66667,18,71.18182,5,0.48,1,10,30,0.11585,0.94181,0.1074,
313,boxelder,Acer,negundo,1,,,ACNE2,41,47,3,36,208,X,X,X,X,X,,H,,,,X,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.42,19,0.5,22,92.3,22,90.78571,22,0.46,19,8.6,21,0.11585,0.94181,0.1074,ERG
314,black maple,Acer,nigrum,1,,,ACNI5,31,31,4,27,96,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.52,1,0.54,6,89.92593,11,69.5,22,0.57,1,15.6,21,0.12798,0.92267,0.12506,ERN
315,striped maple,Acer,pensylvanicum,1,,,ACPE,43,43,3,27,221,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.44,11,0.5,22,89.1,22,71.18182,22,0.46,11,8.6,21,0.11585,0.94181,0.1074,ERP
316,red maple,Acer,rubrum,1,,,ACRU,32,32,3,25,95,X,X,,,X,X,H,X,X,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.7443,0.49,1,0.6,5,78.95,11,63.53061,5,0.54,1,8.6,34,0.11585,0.94181,0.1074,ERR
317,silver maple,Acer,saccharinum,1,,,ACSA2,32,32,3,25,97,X,X,,,X,X,H,X,X,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.7443,0.44,1,0.57,5,79.92982,22,67.54545,5,0.47,1,8.6,21,0.11585,0.94181,0.1074,ERA
318,sugar maple,Acer,saccharum,1,,,ACSA3,31,31,4,27,96,X,X,,,X,X,H,X,X,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,9,-2.0127,2.4342,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.56,1,0.54,5,89.92593,11,57.39286,5,0.63,1,15.6,34,0.12798,0.92267,0.12506,ERS
319,mountain maple,Acer,spicatum,1,,,ACSP2,43,43,4,25,221,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,N,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.11585,0.94181,0.1074,ERE
320,Norway maple,Acer,platanoides,1,,,ACPL,31,47,4,25,146,X,X,X,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,10/9/2009,440,N,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.11585,0.94181,0.1074,
321,Rocky Mountain maple,Acer,glabrum,1,,,ACGL,43,48,4,38,159,X,,X,,X,,H,,,,,,,W,X,1.7,,,2/24/2005,333,,3/19/2008,333,N,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.12798,0.92267,0.12506,
